"","x"
"implementación",129
"verificación",57
"nacion",55
"paz",47
"internacion",44
"csvr",40
"mecanismo",36
"seguimiento",36
"farc",33
"pueblo",32
"acompañamiento",29
"territorio",27
"medida",26
"étnico",25
"comisión",24
"organizacion",24
"política",22
"marco",21
"plan",21
"recurso",21
"conflicto",20
"criterio",20
"desarrollo",20
"diferencia",20
"norma",20
"sistema",20
"ley",19
"participación",19
"resolución",18
"seguridad",17
"cumplimiento",16
"fin",16
"información",16
"social",16
"acordado",15
"establecido",15
"garantía",14
"general",14
"pdet",14
"proyecto",14
"reforma",14
"garantizar",13
"humano",13
"incluyendo",13
"reincorporación",13
"avanc",12
"caso",12
"comunidad",12
"construcción",12
"inform",12
"proceso",12
"creación",11
"ejecución",11
"integr",11
"materia",11
"municipio",11
"podrá",11
"político",11
"programa",11
"unida",11
"vida",11
"alto",10
"instancia",10
"legal",10
"movimiento",10
"organización",10
"protección",10
"representant",10
"territorial",10
"tierra",10
"civil",9
"colombia",9
"contribuir",9
"cuenta",9
"funcion",9
"jurisdicción",9
"marcha",9
"país",9
"uso",9
"actividad",8
"autoridad",8
"control",8
"cultur",8
"diferent",8
"esfuerzo",8
"étnica",8
"firma",8
"instituto",8
"internacional",8
"legislativo",8
"mujer",8
"práctica",8
"principio",8
"técnico",8
"territori",8
"víctima",8
"acto",7
"anterior",7
"apoyo",7
"ciudadana",7
"condicion",7
"consejo",7
"constitución",7
"contenido",7
"experiencia",7
"financiación",7
"indígena",7
"inmediata",7
"institucion",7
"mayo",7
"mismo",7
"nivel",7
"partido",7
"representativa",7
"surja",7
"asegurar",6
"base",6
"comunicación",6
"conform",6
"consulta",6
"controversia",6
"correspondient",6
"criminal",6
"difusión",6
"efecto",6
"fortalecimiento",6
"funcionamiento",6
"garantizará",6
"misión",6
"necesaria",6
"perjuicio",6
"persona",6
"priorizada",6
"relacionado",6
"rural",6
"sociedad",6
"tema",6
"transparencia",6
"tras",6
"travé",6
"tres",6
"vigent",6
"accion",5
"año",5
"aquello",5
"buena",5
"compromiso",5
"constitucion",5
"corrupción",5
"cultivo",5
"cumplan",5
"discusión",5
"droga",5
"duradera",5
"especial",5
"fecha",5
"género",5
"ilícito",5
"interpretación",5
"kroc",5
"mandato",5
"mesa",5
"mese",5
"monitoreo",5
"particular",5
"perspectiva",5
"podrán",5
"present",5
"prioritaria",5
"procedimiento",5
"promoción",5
"pública",5
"pueda",5
"refrendación",5
"region",5
"respecto",5
"riesgo",5
"según",5
"situación",5
"solicitará",5
"solución",5
"terminación",5
"tránsito",5
"verificar",5
"acompañant",4
"adelant",4
"ajust",4
"capacidad",4
"circunscripcion",4
"ciudadano",4
"comisionado",4
"conjunto",4
"constitucional",4
"conversacion",4
"coordinará",4
"corresponda",4
"deberán",4
"dentro",4
"departamento",4
"diseño",4
"disponibilidad",4
"económica",4
"económico",4
"ejercicio",4
"entidad",4
"especialment",4
"establ",4
"estrategia",4
"hacer",4
"herramienta",4
"incorporación",4
"inicio",4
"insumo",4
"integrado",4
"interno",4
"libr",4
"medio",4
"normalización",4
"nuevo",4
"observatorio",4
"oficina",4
"órgano",4
"pedagogía",4
"permita",4
"person",4
"poner",4
"president",4
"prioridad",4
"priorizado",4
"público",4
"recomendacion",4
"reparación",4
"repetición",4
"república",4
"respetando",4
"respetará",4
"respeto",4
"restitución",4
"sujeto",4
"técnica",4
"temático",4
"término",4
"tramitarán",4
"trata",4
"unidad",4
"vez",4
"vigencia",4
"acordada",3
"acuerdan",3
"ademá",3
"adopción",3
"agosto",3
"ahora",3
"alcanzado",3
"alerta",3
"amnistía",3
"ancestral",3
"apoyar",3
"armado",3
"atención",3
"atenderá",3
"bilater",3
"carácter",3
"cese",3
"colectiva",3
"comunitaria",3
"confianza",3
"constatar",3
"contará",3
"contemplado",3
"continuo",3
"contribución",3
"coordinación",3
"creará",3
"cuál",3
"cultural",3
"cumplir",3
"deben",3
"decision",3
"declaración",3
"definición",3
"definitivo",3
"delito",3
"denuncia",3
"desarrollará",3
"detrimento",3
"diálogo",3
"diferenci",3
"discriminación",3
"distinta",3
"dos",3
"emisora",3
"establezcan",3
"estándar",3
"europea",3
"evaluación",3
"éxito",3
"extinción",3
"facilitar",3
"familia",3
"fase",3
"fondo",3
"fuego",3
"garant",3
"guaviar",3
"hacen",3
"hecho",3
"hostilidad",3
"identificar",3
"igualment",3
"implementar",3
"incluyen",3
"incorporar",3
"incorporará",3
"inicialment",3
"investigación",3
"jurídica",3
"línea",3
"lucha",3
"mejoramiento",3
"meta",3
"normativa",3
"notabl",3
"objetivo",3
"partir",3
"pedagógica",3
"periódico",3
"periodo",3
"permitan",3
"poblacion",3
"pondrán",3
"previa",3
"primero",3
"producto",3
"propio",3
"propon",3
"propósito",3
"reconocido",3
"relación",3
"respons",3
"salvaguarda",3
"sector",3
"soberanía",3
"sustitución",3
"tarea",3
"temprana",3
"territorialidad",3
"transitoria",3
"transitorio",3
"unido",3
"unión",3
"universidad",3
"veeduría",3
"verdad",3
"actual",2
"adoptarán",2
"adquirido",2
"afectado",2
"afrocolombiana",2
"agencia",2
"alcanc",2
"alta",2
"ampliación",2
"ampliada",2
"ancestralment",2
"anualment",2
"aplicación",2
"aprobado",2
"aprobará",2
"arma",2
"articulación",2
"audiencia",2
"borrador",2
"brindará",2
"búsqueda",2
"calendario",2
"chagüí",2
"chile",2
"cicr",2
"ciudadanía",2
"ciudadanosa",2
"colaborar",2
"composición",2
"compuesta",2
"común",2
"comunitario",2
"concertará",2
"condenada",2
"confidencialidad",2
"conformidad",2
"construirá",2
"contemplará",2
"contribuya",2
"convención",2
"convenido",2
"convivencia",2
"cooperación",2
"coordin",2
"coordinada",2
"cort",2
"cronograma",2
"cual",2
"cuatrien",2
