"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","comunidad","bienestar","asamblea","accion","ilícito","pnis"
"2","cultivo","paz","incluyendo","comercialización","producción","proceso"
"3","uso","población","social","salud","activo","participativa"
"4","nacion","acordado","frent","marcha","efectiva","contribuir"
"5","sustitución","consumidor","integral","anterior","lucha","mediant"
"6","droga","conflicto","—hombr","coordinación","caso","reforma"
