"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","rural","marco","familiar","propiedad","protección","integr"
"2","tierra","—hombr","condicion","construcción","ingreso","programa"
"3","comunidad","pdet","promov","debe","trabajadora","uso"
"4","mujer","trabajo","mediant","desarrollo","familiar","sistema"
"5","desarrollo","agua","beneficiaria","frontera","medio","bienestar"
"6","nacion","compra","pobreza","específica","estructur","vida"
