"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","comunidad","problema","territorio","ilícito","consumo","asamblea"
"2","cultivo","implementación","institucion","pnis","estrategia","autoridad"
"3","uso","población","debe","política","caso","rural"
"4","droga","principio","persona","ilícita","participativa","evaluación"
"5","sustitución","proyecto","producción","municipal","conflicto","bienestar"
"6","nacion","alternativo","género","activo","sostenibilidad","salud"
