"","x"
"conflicto",199
"paz",192
"víctima",180
"verdad",153
"justicia",135
"responsabilidad",121
"persona",120
"caso",115
"reparación",114
"comisión",112
"jurisdicción",111
"reconocimiento",111
"medida",108
"repetición",103
"conducta",99
"humano",99
"nacion",83
"proceso",81
"tribun",75
"mecanismo",69
"sistema",69
"sancion",67
"participación",66
"organizacion",65
"fin",63
"integr",59
"marco",54
"podrá",54
"amnistía",53
"farc",53
"anterior",52
"garantizar",50
"convivencia",49
"internacion",49
"sivjrnr",49
"contribuir",48
"deberá",48
"establecido",48
"sección",48
"cumplimiento",47
"delito",47
"respecto",47
"cuenta",45
"unidad",45
"grave",44
"inform",44
"magistrado",44
"implementación",43
"sentencia",43
"deberán",42
"armado",41
"construcción",41
"jep",41
"condicion",40
"garantía",40
"lugar",40
"colectiva",39
"incluyendo",39
"información",39
"necesaria",39
"órgano",39
"programa",39
"funcion",38
"general",38
"investigación",38
"desarrollo",37
"esclarecimiento",37
"funcionamiento",36
"jurídica",36
"conform",35
"sanción",35
"social",35
"mismo",34
"hecho",33
"indulto",33
"daño",32
"competencia",31
"desaparecida",31
"política",31
"sociedad",31
"violacion",31
"diferent",30
"libertad",30
"mediant",30
"trabajo",30
"efecto",29
"marcha",29
"principio",29
"acusación",28
"contexto",28
"dicha",28
"ejecución",28
"infraccion",28
"siempr",28
"acordado",27
"directa",27
"humanitario",27
"ocasión",27
"territorio",27
"tratamiento",27
"búsqueda",26
"numer",26
"procedimiento",26
"actividad",25
"colombiano",25
"criterio",25
"dada",25
"particular",25
"podrán",25
"situación",25
"colombiana",24
"compromiso",24
"comunidad",24
"ello",24
"impuesta",24
"ley",24
"promov",24
"razón",24
"respeto",24
"revisión",24
"selección",24
"territori",24
"ubpd",24
"vez",24
"autoridad",23
"competent",23
"materia",22
"norma",22
"político",22
"pública",22
"vida",22
"base",21
"colectivo",21
"debe",21
"judicial",21
"resolución",21
"satisfacción",21
"año",20
"definición",20
"instancia",20
"penal",20
"relación",20
"seccion",20
"amnisti",19
"causa",19
"colombia",19
"mujer",19
"organización",19
"reconciliación",19
"resto",19
"aplicará",18
"fortalecimiento",18
"mayor",18
"objeto",18
"posibl",18
"rebelión",18
"seguridad",18
"violencia",18
"adoptar",17
"asegurar",17
"causado",17
"contribución",17
"disposición",17
"efectiva",17
"indirecta",17
"misma",17
"momento",17
"ocurrido",17
"promoción",17
"puedan",17
"situacion",17
"solicitud",17
"aplicación",16
"carácter",16
"decision",16
"grupo",16
"haber",16
"acto",15
"amplia",15
"cometida",15
"confianza",15
"conformidad",15
