"","x"
"comunidad",105
"cultivo",101
"uso",93
"ilícito",85
"nacion",62
"sustitución",61
"droga",60
"ilícita",59
"territorio",49
"programa",46
"integr",45
"marco",44
"pnis",44
"consumo",42
"desarrollo",40
"problema",39
"compromiso",36
"social",33
"fin",32
"rural",32
"condicion",31
"accion",29
"construcción",29
"proceso",29
"solución",29
"política",28
"autoridad",27
"organizacion",27
"narcotráfico",26
"rri",26
"asamblea",25
"implementación",25
"marcha",25
"participación",25
"comunitaria",24
"participativa",24
"municipal",23
"persona",23
"incluyendo",22
"institucion",22
"mujer",22
"contribuir",21
"activo",20
"población",20
"comercialización",19
"estrategia",19
"integral",19
"salud",19
"cuenta",18
"definitiva",18
"materia",18
"producción",18
"afectada",17
"alternativo",17
"debe",17
"mediant",17
"medida",17
"nivel",17
"principio",17
"seguimiento",17
"ambient",16
"atención",16
"bienestar",16
"diferent",16
"evaluación",16
"lavado",16
"reforma",16
"subpunto",16
"vivir",16
"caso",15
"comunitario",15
"conflicto",15
"efectiva",15
"ejecución",15
"frent",15
"nueva",15
"plan",15
"proyecto",15
"capacidad",14
"garantizar",14
"general",14
"lucha",14
"objetivo",14
"prevención",14
"familiar",13
"sistema",13
"término",13
"violencia",13
"—hombr",12
"acordado",12
"afectado",12
"asociada",12
"base",12
"corrupción",12
"economía",12
"fortalecimiento",12
"mujeres—",12
"necesidad",12
"núcleo",12
"particular",12
"paz",12
"planeación",12
"promoverá",12
"protección",12
"relación",12
"voluntaria",12
"actividad",11
"anterior",11
"consumidora",11
"criminal",11
"directa",11
"familia",11
"fenómeno",11
"generación",11
"instancia",11
"municip",11
"pondrá",11
"promoción",11
"seguridad",11
"sociedad",11
"sostenibilidad",11
"tratamiento",11
"ajust",10
"asistencia",10
"ciudadana",10
"consumidor",10
"control",10
"coordinación",10
"cumplimiento",10
"deben",10
"farc",10
"fortalec",10
"género",10
"internacion",10
"oportunidad",10
"perjuicio",10
"rede",10
"tener",10
"territori",10
"valor",10
"vida",10
"conjunta",9
"cultivadora",9
"garantía",9
"identificar",9
"ingreso",9
"mecanismo",9
"organizado",9
"permitan",9
"propósito",9
"recuperación",9
"apoyo",8
"asegurar",8
"campesina",8
"convivencia",8
"crimen",8
"daño",8
"deberá",8
"delegado",8
"departamental",8
"espacio",8
"evidencia",8
"humano",8
"investigación",8
"nuevo",8
"permita",8
"posibl",8
"propuesta",8
"pública",8
"requier",8
"respeto",8
"riesgo",8
"visión",8
"alimentaria",7
"basada",7
"cadena",7
"carácter",7
"cultivador",7
"deberán",7
"delegada",7
"diferenci",7
"económica",7
"especial",7
"especializado",7
"especialment",7
"factor",7
"generar",7
"grupo",7
"impacto",7
"implica",7
"internacional",7
"mayor",7
"pdet",7
"presencia",7
"puesta",7
"region",7
"regional",7
"respons",7
"territorial",7
"transformación",7
"adquirido",6
"agrícola",6
"aplicación",6
"área",6
"concertada",6
"conjunto",6
"consenso",6
"creación",6
"dedicada",6
"erradicación",6
"experta",6
"facilitar",6
"infraestructura",6
"inmediata",6
"insumo",6
"integración",6
"judicialización",6
"medio",6
"mejorar",6
"metodología",6
"mismo",6
"niña",6
"norma",6
"pobreza",6
"poner",6
"productivo",6
"recolectora",6
"recurso",6
"rehabilitación",6
"solidaria",6
"superación",6
"técnico",6
"tema",6
"tiempo",6
"trata",6
"adolescent",5
"alternativa",5
"asentado",5
"beneficiario",5
"característica",5
"centro",5
"comisión",5
"competent",5
"conocimiento",5
"consecuencia",5
"consejo",5
"decisión",5
"derivado",5
"diferenciado",5
"directament",5
"diseño",5
"duradera",5
"económico",5
"efectividad",5
"efectivo",5
"ejercicio",5
"escolar",5
"establ",5
"extinción",5
"formalización",5
"frontera",5
"fundamento",5
"garantizará",5
"hacer",5
"hacia",5
"identificación",5
"incluya",5
"información",5
"interé",5
"municipio",5
"normativo",5
"organización",5
"participativo",5
"particularidad",5
"partir",5
"penal",5
"poblacion",5
"podrá",5
"posibilidad",5
"prevenir",5
"prioridad",5
"promov",5
"provisión",5
"público",5
"recolector",5
"región",5
"requieren",5
"responsabilidad",5
"revisión",5
"según",5
"técnica",5
"tipo",5
"trabajo",5
"acompañamiento",4
"ademá",4
"agenda",4
"amediera",4
"análisi",4
"año",4
"asociado",4
"avanzar",4
"cierr",4
"comision",4
"conducta",4
"conferencia",4
"crear",4
"cultural",4
"dará",4
"dicha",4
"dinámica",4
"discusión",4
"disposición",4
"edad",4
"educativa",4
"efecto",4
"elemento",4
"empleo",4
"enfrentar",4
"esclarecimiento",4
"establecido",4
"estatal",4
"estructur",4
"estructural",4
"experto",4
"financiación",4
"financiero",4
"harán",4
"hombr",4
"ileg",4
"implementará",4
"inclusión",4
"institucional",4
"intervención",4
"involucrada",4
"involucrado",4
"labor",4
"laboral",4
"libr",4
"lugar",4
"mercado",4
"mitigación",4
"necesaria",4
"niño",4
"participar",4
"priorizada",4
"productor",4
"productora",4
"progresiva",4
"propia",4
"recomendacion",4
"relacionado",4
"resiembra",4
"resultado",4
"sector",4
"servicio",4
"suministro",4
"tierra",4
"toma",4
"torno",4
"transformacion",4
"ubicación",4
"ver",4
"abordar",3
"adecuación",3
"adelantar",3
"adelanten",3
"alimentación",3
"ámbito",3
"asociatividad",3
"atendiendo",3
"beneficiaria",3
"campo",3
"capital",3
"causa",3
"ciudadano",3
"coca",3
"coincidan",3
"colombia",3
"colombiana",3
"comunicacion",3
"concertación",3
"condición",3
"confianza",3
"consideran",3
"considerando",3
"construir",3
"contemplada",3
"contemplado",3
"contribución",3
"contribuirá",3
"cooperativa",3
"creará",3
"crédito",3
"criterio",3
"cronograma",3
"cualificación",3
"cultivar",3
"dar",3
"debido",3
"decision",3
"definirán",3
"delito",3
"dentro",3
"departament",3
"derivada",3
"desarrollará",3
"diálogo",3
"digna",3
"ecosistema",3
"entidad",3
"entrega",3
"escenario",3
"esfuerzo",3
"específica",3
"establecimiento",3
"establezca",3
"etc",3
"experiencia",3
"finanza",3
"firma",3
"formación",3
"formulación",3
"fortalecerán",3
"garanticen",3
"hará",3
"hoja",3
"incluida",3
"incluir",3
"indicador",3
"indígena",3
"interlocución",3
"interno",3
"jóvene",3
"lgbti",3
"lograr",3
"logro",3
"madr",3
"manual",3
"mapeo",3
"mercadeo",3
"natural",3
"normatividad",3
"obra",3
"oferta",3
"opcion",3
"padr",3
"paralela",3
"pequeño",3
"permanencia",3
"pleno",3
"pnn",3
"político",3
"potencialidad",3
"práctica",3
"previo",3
"primera",3
"prioritaria",3
"problemática",3
"productiva",3
"propiedad",3
"razón",3
"reconocimiento",3
"reducción",3
"reflexión",3
"relacionada",3
"renuncia",3
"satisfacción",3
"sexual",3
"socioambient",3
"socioeconómica",3
"solucion",3
"suficient",3
"superar",3
"supon",3
"sustituir",3
"transnacion",3
"travé",3
"víctima",3
"vinculada",3
"vinculado",3
"visto",3
"vulnerabilidad",3
"abajo",2
"abandonar",2
"academia",2
"académica",2
"acápit",2
"activa",2
"adelantarán",2
"adicionalment",2
"agregado",2
"agricultor",2
"agricultora",2
"alcanc",2
"alimento",2
"amediero",2
"amenaza",2
"aparición",2
"apoyar",2
"apoyará",2
"aquella",2
"arriba",2
"articulación",2
"articular",2
"asentada",2
"asociacion",2
"aspecto",2
"aspiramo",2
"asunto",2
"baja",2
"bono",2
"bosqu",2
"buena",2
"buscar",2
"cabeza",2
"carcelaria",2
"científica",2
"ciudadanía",2
"civil",2
"competencia",2
"compra",2
"comunicación",2
"concentración",2
"concepción",2
"consist",2
"constituido",2
"construyen",2
"contar",2
"contenido",2
"contextualizar",2
"contribuirán",2
"contribuya",2
"cooperación",2
"crearán",2
"crimin",2
"criminalidad",2
"cultur",2
"cultura",2
"cuya",2
"darán",2
"dars",2
"decir",2
"definir",2
"demanda",2
"democracia",2
"desarticular",2
"desempeño",2
"desenvolvimiento",2
"desminado",2
"determinación",2
"difusión",2
"diseñado",2
"diseñará",2
"distinta",2
"distinto",2
"dominio",2
"dotación",2
"educación",2
"eficiencia",2
"elaboración",2
"elaborar",2
"ello",2
"encontrar",2
"énfasi",2
"entendido",2
"equivalent",2
"escuela",2
"eslabon",2
"eslabón",2
"especializada",2
"especificidad",2
"establec",2
"establecerán",2
"estableció",2
"éste",2
"estigmatización",2
"estilo",2
"estimulan",2
"estímulo",2
"estructura",2
"existencia",2
"explotación",2
"falta",2
"flagelo",2
"función",2
"fundament",2
"garantizando",2
"geográfica",2
"gestión",2
"goce",2
"grave",2
"habitan",2
"haciendo",2
"hecho",2
"identificando",2
"igualdad",2
"implementarán",2
"implementen",2
"impulso",2
"incluirán",2
"incluy",2
"incorporar",2
"indirecta",2
"individu",2
"infancia",2
"inform",2
"iniciará",2
"iniciativa",2
"inserción",2
"integra",2
"integrada",2
"integrado",2
"integrará",2
"intensificar",2
"interinstitucional",2
"interior",2
"intrafamiliar",2
"investigacion",2
"junto",2
"jurisdicción",2
"largo",2
"leccion",2
"legal",2
"lícito",2
"lineamiento",2
"luego",2
"mancomunado",2
"mandato",2
"manifestación",2
"manifiesten",2
"manten",2
"marginalidad",2
"meta",2
"miembro",2
"multicaus",2
"observancia",2
"operacion",2
"oportuna",2
"optar",2
"orden",2
"organismo",2
"país",2
"paramilitarismo",2
"parqu",2
"periódica",2
"persecución",2
"perspectiva",2
"pisda",2
"plazo",2
"pondrán",2
"precursor",2
"preferencia",2
"prima",2
"principal",2
"priorización",2
"priorizando",2
"procederá",2
"proteg",2
"pued",2
"rápida",2
"realidad",2
"realización",2
"reconciliación",2
"reconoc",2
"religiosa",2
"rendición",2
"renunciar",2
"repetición",2
"requieran",2
"reserva",2
"respond",2
"respondan",2
"resulten",2
"sanción",2
"sentido",2
"sexo",2
"siempr",2
"situación",2
"subsidio",2
"surjan",2
"tendencia",2
"tercer",2
"transitar",2
"tránsito",2
"transparencia",2
"último",2
"una",2
"verdad",2
"vivan",2
"vulner",2
"zrc",2
"–rri",1
"—niño",1
"abandono",1
"abord",1
"abordado",1
"aborden",1
"abrir",1
"acced",1
"acelerarán",1
"acept",1
"acogido",1
"acompañada",1
"acompañado",1
"actualidad",1
"actualizada",1
"actuar",1
"acuerd",1
"adecuada",1
"adecuadament",1
"adecuar",1
"adecuará",1
"adelant",1
"adelantan",1
"adelantars",1
"adición",1
"adicional",1
"adjudicación",1
"administración",1
"adopción",1
"adoptarán",1
"adulto",1
"afectan",1
"afectando",1
"afectar",1
"afirmativa",1
"afrodescendient",1
"agent",1
"agraria",1
"agrupación",1
"ahora",1
"ajena",1
"ajustars",1
"alert",1
"alimentado",1
"allí",1
"alto",1
"amapola",1
"ambiental",1
"ambientalment",1
"amenazar",1
"amplia",1
"ampliación",1
"ampliar",1
"ancestr",1
"ancestral",1
"animal",1
"anteced",1
"antiperson",1
"aparcera",1
"apartada",1
"aport",1
"aportar",1
"apoyarán",1
"aprendida",1
"apropiación",1
"aquello",1
"artesanal",1
"articulen",1
"asegur",1
"asegurando",1
"aseguren",1
"asociación",1
"aspersión",1
"atacar",1
"atiend",1
"atienda",1
"atravesado",1
"atribuir",1
"autoestima",1
"avicultura",1
"barrio",1
"basado",1
"básica",1
"beneficiarán",1
"blanqueo",1
"brigada",1
"brindar",1
"brindará",1
"busca",1
"buscará",1
"cabo",1
"calificada",1
"call",1
"camino",1
"campaña",1
"campesinado",1
"campesino",1
"canal",1
"capacitación",1
"capacitar",1
"caracterización",1
"casera",1
"caseta",1
"causada",1
"celac",1
"celebrar",1
"celebrarán",1
"censo",1
"centrada",1
"central",1
"choqu",1
"ciclo",1
"científico",1
"circunstancia",1
"ciudad",1
"clube",1
"coacción",1
"cobertura",1
"coexistencia",1
"coincida",1
"coincidir",1
"colectiva",1
"colectivo",1
"colegio",1
"colindan",1
"colombiano",1
"colono",1
"combatir",1
"comedor",1
"comercializadora",1
"cometida",1
"comienza",1
"comité",1
"comparezcan",1
"compartida",1
"complementa",1
"complementaria",1
"comprend",1
"comprenden",1
"comprensión",1
"compromet",1
"comprometan",1
"comprometida",1
"comprometido",1
"compuesto",1
"comunal",1
"concentr",1
"concertado",1
"condicionada",1
"condicionado",1
"conduzcan",1
"conforman",1
"conformará",1
"conformarán",1
"conformidad",1
"consagrado",1
"conscient",1
"conservación",1
"consideración",1
"considerará",1
"consign",1
"consolidar",1
"consonancia",1
"constituida",1
"constituirlo",1
"constituyan",1
"constituyen",1
"construida",1
"consumen",1
"contado",1
"contará",1
"contempl",1
"conten",1
"contenga",1
"continua",1
"contrarrestar",1
"contratación",1
"contraten",1
"contribucion",1
"contribuido",1
"contribuyen",1
"controlar",1
"convocada",1
"convocará",1
"cooperativismo",1
"coordinada",1
"coordinar",1
"coordinará",1
"corresponda",1
"correspondient",1
"corto",1
"costo",1
"crea",1
"cualificada",1
"cualificar",1
"cualificarán",1
"cualifiqu",1
"cubrir",1
"cuenten",1
"cultiva",1
"cultivan",1
"cumplan",1
"cumpliendo",1
"cumplir",1
"cuyo",1
"dada",1
"débil",1
"débile",1
"década",1
"decidan",1
"decidida",1
"decididament",1
"dedicado",1
"definicion",1
"definición",1
"definido",1
"definirá",1
"definitivament",1
"democrática",1
"democrático",1
"densidad",1
"depend",1
"deportiva",1
"derivan",1
"desactivar",1
"desarrollado",1
"desarrollar",1
"desarticulación",1
"desarticulando",1
"desayuno",1
"descripción",1
"descrito",1
"deseado",1
"desenvuelven",1
"desfavorec",1
"despliegu",1
"destinación",1
"destinarán",1
"destino",1
"desvinculars",1
"detallada",1
"detección",1
"detectar",1
"determinar",1
"detrimento",1
"diagnóstico",1
"diferencial",1
"difícil",1
"dificulta",1
"digno",1
"dimension",1
"dinámico",1
"dinero",1
"directivo",1
"dirigido",1
"discapacidad",1
"discriminación",1
"diseñar",1
"diseñarán",1
"dispon",1
"distancia",1
"divulgado",1
"docent",1
"eficaz",1
"eficient",1
"ejecuta",1
"ejecutan",1
"ejecutar",1
"ejecutarán",1
"ejemplo",1
"ejerc",1
"elaborará",1
"elaborarán",1
"elección",1
"elegirán",1
"elijan",1
"eliminar",1
"emitan",1
"empeñarán",1
"emprend",1
"empresa",1
"empresaria",1
"empresario",1
"encadenamiento",1
"encaminada",1
"encuentra",1
"encuentren",1
"encuentro",1
"enfocada",1
"engranaj",1
"enlac",1
"enmarcada",1
"entrada",1
"equidad",1
"equilibrado",1
"erradicar",1
"escala",1
"esclarec",1
"especificando",1
"espíritu",1
"esquema",1
"ésta",1
"establecerá",1
"establezcan",1
"éstas",1
"estatuto",1
"estereotipo",1
"estrecha",1
"estricto",1
"estructuración",1
"estructurarán",1
"estudiant",1
"estudio",1
"etario",1
"evaluado",1
"evaluar",1
"evitar",1
"exhaustiva",1
"exig",1
"existan",1
"existir",1
"expandir",1
"explotar",1
"expresion",1
"extenderá",1
"extenderán",1
"facilitan",1
"fase",1
"fauna",1
"femenina",1
"fidelidad",1
"financiado",1
"financiera",1
"fine",1
"firm",1
"fiscalización",1
"física",1
"flexibilidad",1
"fluvial",1
"focalización",1
"foment",1
"formalizar",1
"formalment",1
"formular",1
"fortalecerá",1
"fortalezca",1
"fortuito",1
"frágile",1
"frecuencia",1
"fuent",1
"fuert",1
"fuerza",1
"funcionamiento",1
"garantizarán",1
"generado",1
"generen",1
"gestion",1
"global",1
"gozar",1
"gran",1
"guardería",1
"gubernamental",1
"guía",1
"guiar",1
"guiará",1
"guiars",1
"haber",1
"habilidad",1
"habita",1
"habitant",1
"hace",1
"hacen",1
"hagan",1
"hambr",1
"hidrografía",1
"historia",1
"hora",1
"huerta",1
"identidad",1
"identificado",1
"identifiqu",1
"iglesia",1
"ilegal",1
"impactar",1
"implement",1
"implementada",1
"importación",1
"importadora",1
"impuls",1
"impulsar",1
"impulsará",1
"incentivar",1
"inciden",1
"incidiendo",1
"incitan",1
"incluido",1
"incluyan",1
"incumplan",1
"indebidament",1
"indica",1
"indirectament",1
"indiscut",1
"industrial",1
"inequidad",1
"infantil",1
"informacion",1
"inmaterial",1
"inmediato",1
"inspiran",1
"institucionalidad",1
"instrumento",1
"integralment",1
"integren",1
"integridad",1
"intensificación",1
"intensificarán",1
"intensifiqu",1
"interdicción",1
"interrelación",1
"investigadora",1
"invitar",1
"involucra",1
"involucrando",1
"irregular",1
"jamá",1
"judicial",1
"jugar",1
"junta",1
"juvenil",1
"larga",1
"libertad",1
"lícita",1
"liderar",1
"liderazgo",1
"lídere",1
"lideresa",1
"ligada",1
"limitacion",1
"limpieza",1
"llegar",1
"llegu",1
"llevará",1
"lucrándos",1
"lucro",1
"manejo",1
"manifestar",1
"manifiesta",1
"manifiestan",1
"mantienen",1
"marihuana",1
"masiva",1
"material",1
"máximo",1
"medi",1
"media",1
"médico",1
"medir",1
"mejor",1
"mejora",1
"mejoramiento",1
"menor",1
"menoscabar",1
"mesa",1
"mina",1
"minimizar",1
"mínimo",1
"misma",1
"modalidad",1
"monitoreo",1
"motivar",1
"mucha",1
"mundial",1
"municion",1
"mutuo",1
"nacionalment",1
"narcótico",1
"naturaleza",1
"negativo",1
"nicho",1
"objetiva",1
"objeto",1
"obligacion",1
"oea",1
"opten",1
"optimización",1
"ordenamiento",1
"organizada",1
"organizativa",1
"orientada",1
"origen",1
"pacífica",1
"pactado",1
"pacto",1
"papel",1
"paquet",1
"parten",1
"partícip",1
"participarán",1
"partirá",1
"partirán",1
"pecuaria",1
"penetración",1
"periódico",1
"permanec",1
"permanent",1
"permiten",1
"permitir",1
"permitirá",1
"perseguir",1
"persistencia",1
"persistent",1
"persuadirlo",1
"pertenencia",1
"pertinent",1
"perturban",1
"pesar",1
"piscicultura",1
"planificar",1
"plasmado",1
"poblacional",1
"poblador",1
"podrán",1
"positivament",1
"predio",1
"preparación",1
"present",1
"presenta",1
"presentado",1
"presentando",1
"preservación",1
"presidencia",1
"prestar",1
"preverán",1
"primer",1
"prioricen",1
"priorizado",1
"priorizará",1
"privilegiará",1
"proced",1
"producto",1
"produzcan",1
"profundización",1
"promocion",1
"promoverán",1
"promoviendo",1
"promueva",1
"propiciar",1
"propietario",1
"protagónico",1
"proveedor",1
"provenient",1
"psicosoci",1
"puedan",1
"pueden",1
"químico",1
"rápido",1
"realizada",1
"realizar",1
"rebelión",1
"rechazar",1
"reciba",1
"recojan",1
"recolectoresa",1
"reconociendo",1
"reconozca",1
"recreación",1
"rediseño",1
"referida",1
"reflejar",1
"reflejen",1
"reflexionar",1
"reformulación",1
"regirá",1
"regirs",1
"reglamentar",1
"reincidencia",1
"reincorporación",1
"relacion",1
"religioso",1
"relocalización",1
"rendirán",1
"reparación",1
"repartiendo",1
"report",1
"representan",1
"representant",1
"representar",1
"república",1
"requerido",1
"resaltar",1
"respectiva",1
"respectivo",1
"respecto",1
"respetarán",1
"respetivo",1
"responden",1
"responderá",1
"restauración",1
"result",1
"resurgimiento",1
"reto",1
"revisará",1
"revocado",1
"rol",1
"romper",1
"ruta",1
"sensibilizar",1
"sentar",1
"sentir",1
"señalado",1
"servirá",1
"sida",1
"silvopastoril",1
"simultáneament",1
"sintética",1
"sirva",1
"soberana",1
"socialización",1
"sola",1
"solidaridad",1
"sólido",1
"solo",1
"sólo",1
"solucionar",1
"sospechosa",1
"subsistencia",1
"suelo",1
"sugieran",1
"sujeto",1
"supervisión",1
"suplir",1
"suscripción",1
"sustento",1
"tamaño",1
"tempor",1
"tercera",1
"terciaria",1
"testaferro",1
"tipología",1
"tome",1
"tradicional",1
"tráfico",1
"tramitar",1
"transformar",1
"transitoria",1
"transparent",1
"transport",1
"tras",1
"trasnacional",1
"unasur",1
"unida",1
"universo",1
"urbano",1
"utiliza",1
"utilización",1
"utilizada",1
"utilizado",1
"validado",1
"validen",1
"varia",1
"veeduría",1
"vereda",1
"vez",1
"viabilidad",1
"vial",1
"vías",1
"vigencia",1
"vigilancia",1
"vih",1
"vinculación",1
"vincular",1
"vinculen",1
"vínculo",1
"vista",1
"vívere",1
"vivienda",1
"voluntad",1
"voluntario",1
"vuelva",1
"yurbana",1
