"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","fin","política","paz","implementación","elector","participativa"
"2","mayor","participación","medida","evaluación","region","elector"
"3","pública","social","democracia","nuevo","fortalecimiento","político"
"4","representación","movimiento","ciudadana","respeto","plena","institucional"
"5","ciudadano","organizacion","medio","democrático","congreso","firma"
"6","género","nacion","reconciliación","comisión","mismo","candidato"
