"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","acompañamiento","desarrollo","marco","seguridad","implementación","deberá"
"2","principio","organizacion","cumplimiento","avanc","nacion","garantizar"
"3","general","mujer","plan","acordado","verificación","acordado"
"4","inform","protección","instancia","creación","paz","condicion"
"5","caso","unida","territorio","social","internacion","ley"
"6","jurisdicción","pdet","materia","territorial","csivi","social"
