"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","mecanismo","implementación","pueblo","recurso","territorio","comisión"
"2","plan","verificación","seguridad","criterio","diferencia","marco"
"3","participación","nacion","cumplimiento","humano","acordado","desarrollo"
"4","podrá","csvr","movimiento","unida","reforma","conflicto"
"5","funcion","paz","materia","marcha","caso","resolución"
"6","acto","internacion","alto","cuenta","incluyendo","ley"
