"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","fuerza","garantía","farc","cuenta","movimiento","competencia"
"2","información","integr","nacion","bajo","comisión","terreno"
"3","marco","persona","seguridad","rede","armamento","acordado"
"4","consejo","present","organizacion","conform","materia","confianza"
"5","propósito","justicia","política","capacidad","caso","establec"
"6","conformidad","coordinación","político","evaluación","conducta","desmantelamiento"
