"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","desarrollo","integr","mujer","rural","economía","programa"
"2","nacion","garantizar","propiedad","tierra","territorio","desarrollo"
"3","participación","población","medida","comunidad","infraestructura","garantía"
"4","promoción","condicion","uso","producción","construcción","creará"
"5","técnica","criterio","mecanismo","campesina","trabajadora","rri"
"6","plan","mujeres—","ambient","familiar","generación","salud"
