"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","incluyendo","desarrollo","conflicto","conform","hecho","ejecución"
"2","infraccion","política","víctima","grave","compromiso","aplicará"
"3","firma","dada","paz","medio","debe","causa"
"4","haber","competent","verdad","año","rebelión","recomendacion"
"5","comunidad","norma","justicia","situacion","actividad","resolucion"
"6","estrategia","situación","responsabilidad","podrá","numer","cultural"
