"","x"
"nacion",721
"farc",611
"paz",556
"conflicto",384
"seguridad",361
"mmv",356
"organizacion",332
"medida",330
"política",321
"persona",306
"implementación",299
"participación",298
"proceso",298
"social",280
"jurisdicción",266
"comunidad",254
"mecanismo",251
"caso",246
"sistema",240
"fin",238
"víctima",230
"información",229
"integr",225
"político",225
"mujer",222
"arma",221
"conducta",217
"desarrollo",212
"marco",206
"movimiento",205
"instancia",201
"verdad",196
"comisión",195
"garantizar",194
"humano",193
"territorio",190
"zvtn",190
"programa",189
"cumplimiento",187
"justicia",187
"garantía",184
"responsabilidad",184
"verificación",184
"establecido",183
"construcción",182
"internacion",182
"cfhbd",178
"protección",178
"rural",176
"pública",173
"condicion",163
"ley",162
"actividad",161
"uso",155
"reconocimiento",154
"cuenta",152
"amnistía",147
"reparación",147
"procedimiento",145
"repetición",144
"anterior",143
"incluyendo",141
"general",140
"autoridad",136
"delito",136
"libertad",133
"unidad",132
"penal",128
"acordado",123
"necesaria",123
"seguimiento",121
"cultivo",118
"población",118
"deberá",117
"monitoreo",116
"tierra",116
"funcionamiento",115
"público",115
"vida",115
"compromiso",114
"podrá",114
"ejecución",113
"partido",112
"civil",111
"contribuir",111
"jurídica",111
"nivel",111
"respecto",111
"principio",109
"dejación",108
"ejercicio",108
"efecto",106
"desplazamiento",105
"diferent",105
"funcion",105
"objeto",105
"mediant",104
"present",104
"fuerza",103
"convivencia",102
"ilícito",102
"plan",102
"nuevo",101
"enfoqu",100
"promoción",100
"hecho",99
"promov",99
"ciudadana",98
"inform",97
"conform",96
"indulto",96
"marcha",94
"particular",94
"criterio",93
"mayor",93
"proyecto",93
"recurso",93
"reincorporación",93
"norma",92
"coordinación",91
"mismo",91
"materia",90
"medio",89
"tribun",89
"dicha",88
"institucion",88
"armado",87
"sancion",87
"region",86
"día",85
"base",84
"debe",83
"deberán",83
"accion",82
"legal",82
"competencia",81
"tratamiento",81
"vez",81
"control",80
"organización",80
"dentro",78
"lugar",78
"ilícita",77
"creación",76
"sociedad",76
"técnica",76
"investigación",75
"propósito",75
"colombia",74
"definición",74
"grave",74
"fortalecimiento",73
"objetivo",73
"perjuicio",73
"riesgo",73
"asegurar",72
"criminal",72
"droga",72
"necesidad",71
"producción",71
"respeto",71
"sustitución",71
"aplicación",70
"atención",70
"según",70
"violencia",70
"espacio",68
"firma",68
"tránsito",68
"hombr",67
"órgano",66
"territori",66
"trabajo",66
"reforma",65
"situación",64
"comunitaria",63
"fuego",63
"hostilidad",63
"acto",62
"apoyo",62
"armamento",62
"directa",62
"siempr",62
"campesina",61
"duradera",61
"pueblo",61
"travé",61
"acompañamiento",60
"año",60
"colombiano",60
"correspondient",60
"establ",60
"grupo",60
"capacidad",59
"efectiva",59
"familiar",59
"misma",59
"carácter",58
"competent",58
"conformidad",58
"consejo",58
"deben",58
"listado",58
"situacion",58
"cese",57
"colectiva",57
"ello",57
"facilitar",57
"fortalec",57
"fuent",57
"podrán",57
"relación",57
"sentencia",57
"solución",57
"técnico",57
"hacer",55
"posibl",55
"problema",55
"representant",55
"comunicación",54
"esclarecimiento",54
"género",54
"jep",54
"magistrado",54
"sanción",54
"ambient",53
"campamento",53
"numer",53
"término",53
"tipo",53
"bajo",52
"ciudadano",52
"definitivo",52
"economía",52
"especial",52
"reconciliación",52
"revisión",52
"terreno",52
"pertinent",51
"sección",51
"surja",51
"terminación",51
"ademá",50
"delegado",50
"garantizará",50
"puedan",50
"sector",50
"tiempo",50
"transitoria",50
"violacion",50
"bilater",49
"normalización",49
"república",49
"resolución",49
"respons",49
"servicio",49
"sivjrnr",49
"unida",49
"csivi",48
"disposición",48
"recomendacion",48
"registro",48
"territorial",48
"consumo",47
"contenido",47
"daño",47
"evaluación",47
"internacional",47
"partir",47
"person",47
"bien",46
"campo",46
"dos",46
"entrada",46
"participativa",46
"planeación",46
"pnis",46
"tener",46
"área",45
"causa",45
"labor",45
"buen",44
"especialment",44
"mandato",44
"transparencia",44
"aplicará",43
"colombiana",43
"financiación",43
"identificación",43
"igualdad",43
"municipal",43
"nueva",43
"ocasión",43
"prevención",43
"realizar",43
"salud",43
"transport",43
"establec",42
