"","x"
"farc",190
"nacion",146
"seguridad",142
"política",95
"organizacion",88
"político",83
"movimiento",81
"protección",79
"medida",65
"actividad",62
"paz",61
"proceso",54
"objeto",52
"reincorporación",52
"partido",50
"criminal",48
"mmv",48
"legal",47
"arma",45
"cfhbd",44
"unidad",44
"civil",43
"nuevo",40
"social",40
"vida",40
"zvtn",40
"garantía",37
"tránsito",37
"humano",36
"sistema",36
"conducta",35
"participación",35
"programa",35
"surja",35
"cumplimiento",32
"fin",32
"pública",32
"incluyendo",31
"territorio",31
"integr",30
"garantizar",29
"necesaria",29
"nivel",29
"riesgo",29
"construcción",28
"monitoreo",28
"técnica",28
"acordado",27
"armamento",27
"ejercicio",27
"persona",27
"comunidad",26
"dentro",26
"fuerza",25
"present",25
"procedimiento",25
"mesa",24
"verificación",24
"comisión",23
"conflicto",23
"funcionamiento",23
"general",23
"implementación",23
"información",22
"coordinación",21
"instancia",21
"anterior",20
"institucion",20
"jurisdicción",20
"mujer",20
"seguimiento",20
"género",19
"paramilitarismo",19
"dejación",18
"día",18
"funcion",18
"podrá",18
"proyecto",18
"público",18
"apoyo",17
"campamento",17
"denominada",17
"desarrollo",17
"establecido",17
"justicia",17
"sucesora",17
"accion",16
"convivencia",16
"garantizará",16
"investigación",16
"mecanismo",16
"población",16
"condicion",15
"materia",15
"terreno",15
"estructura",14
"internacion",14
"permanent",14
"propósito",14
"recurso",14
"regla",14
"representant",14
"caso",13
"compromiso",13
"cuerpo",13
"dicha",13
"firma",13
"marco",13
"ordinaria",13
"organización",13
"prevención",13
"rede",13
"registro",13
"república",13
"control",12
"cuenta",12
"democrática",12
"desplazamiento",12
"dispositivo",12
"efecto",12
"ejecución",12
"policía",12
"almacenamiento",11
"alto",11
"autoridad",11
"bajo",11
"competencia",11
"conformidad",11
"consejo",11
"creación",11
"diferenci",11
"económica",11
"establec",11
"hace",11
"nación",11
"privada",11
"servicio",11
"técnico",11
"anexo",10
"apertura",10
"aquella",10
"atención",10
"base",10
"desmantelamiento",10
"duradera",10
"especializada",10
"establ",10
"familia",10
"formación",10
"listado",10
"logística",10
"lucha",10
"mandato",10
"municion",10
"persecución",10
"reforma",10
"respons",10
"rigen",10
"vigilancia",10
"amenaza",9
"aplicación",9
"armada",9
"capacidad",9
"conform",9
"construir",9
"deben",9
"deberán",9
"directora",9
"dos",9
"efectivo",9
"entidad",9
"explosivo",9
"financiación",9
"funcionariosa",9
"hacer",9
"hostilidad",9
"identificación",9
"marcha",9
"norma",9
"objetivo",9
"partir",9
"penal",9
"perjuicio",9
"plan",9
"presencia",9
"repetición",9
"respeto",9
"sede",9
"servidoresa",9
"término",9
"transparencia",9
"vez",9
"alerta",8
"amenacen",8
"asegurar",8
"carácter",8
"cnr",8
"colombia",8
"comunicación",8
"confianza",8
"contribuir",8
"cooperación",8
"correspondient",8
"creará",8
"criterio",8
"defensoresa",8
"definitivo",8
"económico",8
"efectiva",8
"evaluación",8
"fiscalía",8
"función",8
"individu",8
"interior",8
"internacional",8
"jurídica",8
"ley",8
"libertad",8
"liter",8
"mayor",8
"mediant",8
"medio",8
"misma",8
"mismo",8
"previa",8
"principio",8
"pueden",8
"reacción",8
"region",8
"responsabilidad",8
"resultado",8
"ruta",8
"terminación",8
"transport",8
"acuerdan",7
"adopten",7
"cargo",7
"cese",7
"comprometen",7
"contará",7
"contenido",7
"cumplir",7
"deberá",7
"delegado",7
"difusión",7
"disposición",7
"ecomún",7
"elector",7
"equipo",7
"especialment",7
"esquema",7
"facilitar",7
"fenómeno",7
"fuego",7
"hará",7
"hecho",7
"hoy",7
"incluida",7
"investigacion",7
"labor",7
"organizado",7
"person",7
"pertinent",7
"promov",7
"realizará",7
"respecto",7
"según",7
"subdirección",7
"territorial",7
"tipo",7
"travé",7
"uso",7
"acordada",6
"acreditación",6
"antiguo",6
"área",6
"atentan",6
"bilater",6
"campaña",6
"censo",6
"colectiva",6
"conocimiento",6
"constitución",6
"contenedor",6
"defensa",6
"definido",6
"delegadoa",6
"desarrollar",6
"desempeño",6
"despliegu",6
"diseño",6
"efectividad",6
"espacio",6
"estat",6
"frent",6
"grupo",6
"homicidio",6
"impulsará",6
"individual",6
"inicia",6
"inicio",6
"interes",6
"legislativo",6
"masacr",6
"militar",6
"ministerio",6
"modelo",6
"necesidad",6
"normalización",6
"nueva",6
"numer",6
"número",6
"particular",6
"personería",6
"podrán",6
"pondrá",6
"presupuesto",6
"previament",6
"promoción",6
"pueblo",6
"rápida",6
"reconciliación",6
"reincorporen",6
"rural",6
"sancion",6
"tarea",6
"tenencia",6
"tener",6
"territori",6
"transitoria",6
"unp",6
"víctima",6
"vigent",6
"violencia",6
"acompañamiento",5
"acto",5
"adelant",5
"adelantar",5
"administración",5
"adscrito",5
"análisi",5
"armado",5
"avanc",5
"básica",5
"cámara",5
"centro",5
"colombiano",5
"colombianosa",5
"competent",5
"condición",5
"conjunto",5
"constituirá",5
"crimen",5
"crimin",5
"cronograma",5
"curul",5
"denuncia",5
"disciplinaria",5
"disciplinario",5
"énfasi",5
"esclarecimiento",5
"estratégico",5
"fase",5
"fecha",5
"fondo",5
"fortalecimiento",5
"fundamental",5
"hoja",5
"identificar",5
"igual",5
"integrado",5
"integridad",5
"judici",5
"julio",5
"legalidad",5
"libr",5
"lista",5
"luego",5
"lugar",5
"menor",5
"miembro",5
"ministro",5
"misión",5
"monopolio",5
"municip",5
"niño",5
"onu",5
"opinión",5
"organismo",5
"paramilitar",5
"permit",5
"plataforma",5
"presidenci",5
"productivo",5
"promoverá",5
"puedan",5
