"","x"
"implementación",157
"nacion",64
"verificación",61
"csivi",46
"paz",45
"internacion",44
"mecanismo",42
"seguimiento",40
"farc",35
"organizacion",35
"territorio",34
"pueblo",33
"acompañamiento",29
"medida",28
"étnico",25
"marco",25
"norma",25
"recurso",25
"comisión",24
"conflicto",24
"información",24
"política",24
"participación",23
"desarrollo",22
"plan",22
"principio",21
"programa",21
"acordado",20
"construcción",20
"fin",20
"social",20
"garantizar",19
"mujer",19
"sistema",19
"impulso",18
"ley",18
"proceso",18
"diferent",17
"general",17
"humano",17
"seguridad",17
"criterio",16
"establecido",16
"garantía",16
"cumplimiento",15
"avanc",14
"comunidad",14
"inform",14
"instancia",14
"institucion",14
"podrá",14
"protección",14
"proyecto",14
"reforma",14
"territorial",14
"caso",13
"civil",13
"creación",13
"ejecución",13
"incluyendo",13
"reincorporación",13
"unida",13
"vida",13
"año",12
"autoridad",12
"colombia",12
"contenido",12
"cuenta",12
"garantizará",12
"integr",12
"jurisdicción",12
"materia",12
"político",12
"público",12
"control",11
"deberá",11
"funcion",11
"pdet",11
"técnica",11
"apoyo",10
"contribuir",10
"esfuerzo",10
"financiación",10
"igualdad",10
"legal",10
"legislativo",10
"movimiento",10
"municipio",10
"necesaria",10
"organización",10
"particular",10
"persona",10
"representant",10
"técnico",10
"tierra",10
"víctima",10
"acto",9
"alto",9
"anterior",9
"condicion",9
"étnica",9
"firma",9
"fortalecimiento",9
"internacional",9
"promov",9
"pública",9
"territori",9
"uso",9
"vigent",9
"actividad",8
"ciudadana",8
"conform",8
"consejo",8
"consulta",8
"corrupción",8
"cultur",8
"deberán",8
"dos",8
"duradera",8
"emisora",8
"funcionamiento",8
"indígena",8
"instituto",8
"marcha",8
"mismo",8
"nivel",8
"país",8
"perjuicio",8
"práctica",8
"present",8
"respeto",8
"sociedad",8
"tránsito",8
"transparencia",8
"asegurar",7
"ciudadano",7
"conjunto",7
"constitución",7
"coordinación",7
"discriminación",7
"efecto",7
"especial",7
"establ",7
"hacer",7
"misión",7
"partido",7
"partir",7
"procedimiento",7
"refrendación",7
"representativa",7
"república",7
"respecto",7
"respetará",7
"sector",7
"surja",7
"terminación",7
"travé",7
"tres",7
"armado",6
