"","x"
"farc",200
"nacion",155
"seguridad",152
"organizacion",97
"política",97
"político",85
"movimiento",82
"protección",82
"paz",69
"medida",67
"actividad",62
"reincorporación",62
"proceso",57
"mmv",55
"objeto",52
"partido",52
"cfhbd",50
"legal",49
"arma",48
"zvtn",48
"civil",47
"unidad",47
"criminal",43
"social",41
"vida",41
"nuevo",40
"tránsito",40
"programa",39
"sistema",38
"conducta",37
"garantía",37
"humano",37
"surja",37
"integr",35
"participación",35
"cumplimiento",34
"garantizar",34
"fin",33
"persona",33
"territorio",33
"pública",32
"incluyendo",31
"riesgo",30
"construcción",29
"necesaria",29
"nivel",29
"técnica",29
"acordado",28
"monitoreo",28
"comunidad",27
"conflicto",27
"ejercicio",27
"fuerza",27
"implementación",27
"procedimiento",27
"comisión",26
"dentro",26
"verificación",26
"general",25
"present",25
"coordinación",24
"jurisdicción",24
"mesa",24
"información",23
"mujer",23
"armamento",22
"funcionamiento",22
"seguimiento",22
"anterior",21
"instancia",21
"justicia",21
"institucion",20
"población",20
"público",20
"condicion",19
"dejación",19
"proyecto",19
"recurso",19
"día",18
"establecido",18
"funcion",18
"marco",18
"paramilitarismo",18
"apoyo",17
"desarrollo",17
"investigación",17
"mecanismo",17
"podrá",17
"accion",16
"campamento",16
"caso",16
"convivencia",16
"denominada",16
"garantizará",16
"internacion",16
"materia",16
"propósito",16
"sucesora",16
"consejo",15
"cuerpo",15
"ejecución",15
"firma",15
"regla",15
"compromiso",14
"cuenta",14
"estructura",14
"ordinaria",14
"permanent",14
"prevención",14
"alto",13
"creación",13
"dicha",13
"especializada",13
"nación",13
"organización",13
"registro",13
"representant",13
"república",13
"terreno",13
"base",12
"competencia",12
"control",12
"deberá",12
"democrática",12
"desplazamiento",12
"efecto",12
"entidad",12
"mandato",12
"mediant",12
"policía",12
"rede",12
"servicio",12
"término",12
"almacenamiento",11
"atención",11
"autoridad",11
"bajo",11
"conformidad",11
"desmantelamiento",11
"directora",11
"económica",11
"establec",11
"formación",11
"hace",11
"lucha",11
"privada",11
"respons",11
"técnico",11
"vez",11
"apertura",10
"cnr",10
"conform",10
"contribuir",10
"cooperación",10
"delegado",10
"dispositivo",10
"duradera",10
"ecomún",10
"establ",10
"familia",10
"financiación",10
"hacer",10
"jurídica",10
"ley",10
"listado",10
"logística",10
"marcha",10
"particular",10
"partir",10
"penal",10
"perjuicio",10
"reforma",10
"repetición",10
"rigen",10
"vigilancia",10
"amenaza",9
"anexo",9
"aquella",9
"armada",9
"asegurar",9
"capacidad",9
"comunicación",9
"confianza",9
"construir",9
"deben",9
"deberán",9
"diferenci",9
"efectivo",9
"facilitar",9
"fiscalía",9
"funcionariosa",9
"hostilidad",9
"identificación",9
"libertad",9
"liter",9
"mismo",9
"norma",9
"objetivo",9
"plan",9
"presencia",9
"previa",9
"respeto",9
"responsabilidad",9
"sede",9
"servidoresa",9
"terminación",9
"tipo",9
"transparencia",9
"vigent",9
"alerta",8
"amenacen",8
"antiguo",8
"aplicación",8
"carácter",8
"colombia",8
"competent",8
"conjunto",8
"correspondient",8
"creará",8
"criterio",8
"cumplir",8
"defensoresa",8
"definitivo",8
"disposición",8
"económico",8
"efectiva",8
"evaluación",8
"función",8
"género",8
"hará",8
"hecho",8
"individu",8
"interior",8
"internacional",8
"legalidad",8
"mayor",8
"medio",8
"miembro",8
"misma",8
"numer",8
"participen",8
"person",8
"personería",8
"principio",8
"promov",8
"pueden",8
"reacción",8
"region",8
"resultado",8
"ruta",8
"según",8
"subdirección",8
"transport",8
"travé",8
"uso",8
"acreditación",7
"acuerdan",7
"adopten",7
"articulación",7
"atenten",7
"campaña",7
"cese",7
"comprometen",7
"contará",7
"contenido",7
"despliegu",7
"dos",7
"elector",7
"equipo",7
"especialment",7
"esquema",7
"fenómeno",7
"fiscal",7
"fuego",7
"homicidio",7
"hoy",7
"investigacion",7
"labor",7
"legislativo",7
"menor",7
"niño",7
"normalización",7
"nueva",7
"organizado",7
"pertinent",7
"podrán",7
"previament",7
"realizará",7
"respecto",7
"siempr",7
"tarea",7
"territorial",7
"unp",7
"violencia",7
"acompañamiento",6
"acordada",6
"área",6
"armado",6
"bilater",6
"cargo",6
"censo",6
"colectiva",6
"colombiano",6
"constitución",6
"contenedor",6
"cronograma",6
"defensa",6
"definido",6
"delegadoa",6
"desarrollar",6
"desempeño",6
"difusión",6
"diseño",6
"efectividad",6
"espacio",6
"estat",6
"frent",6
"grupo",6
"identificar",6
"impulsará",6
"incluida",6
"individual",6
"inicia",6
"inicio",6
"interes",6
"lugar",6
"masacr",6
"militar",6
"ministerio",6
"modelo",6
"necesidad",6
"número",6
"pondrá",6
"productivo",6
"promoción",6
"pueblo",6
"puedan",6
"rápida",6
"reconciliación",6
"reincorporen",6
"rural",6
"sancion",6
"subpunto",6
"suma",6
"tenencia",6
"tener",6
"territori",6
"transitoria",6
"trata",6
"verificar",6
"víctima",6
"acto",5
"adelant",5
"adelantar",5
"adolescent",5
"adscrito",5
"atentan",5
"avanc",5
"básica",5
"cámara",5
"centro",5
"colombianosa",5
"conocimiento",5
"crimen",5
"crimin",5
"curul",5
"denuncia",5
"derivada",5
"disciplinaria",5
"disciplinario",5
"encargada",5
"énfasi",5
"equivalent",5
"esclarecimiento",5
"establecerá",5
"estratégico",5
"fase",5
"fecha",5
"fondo",5
"fortalecimiento",5
"fundamental",5
"hoja",5
"inform",5
"instrumento",5
"integrado",5
"integridad",5
"judici",5
"libr",5
"lineamiento",5
"lista",5
"luego",5
"ministro",5
"misión",5
"monopolio",5
"municion",5
"municip",5
"niña",5
"onu",5
"opinión",5
"organismo",5
"órgano",5
"paramilitar",5
"permit",5
"presidenci",5
"presupuesto",5
"promoverá",5
"propuesta",5
"psicosoci",5
"puesta",5
"realizar",5
"recolección",5
"recomendacion",5
"reconocido",5
"relacionado",5
"respectiva",5
"revisión",5
"selección",5
"senado",5
"sociedad",5
"solución",5
"suministro",5
"supervisión",5
"tiempo",5
"totalidad",5
"trabajo",5
"transición",5
"ubicación",5
"verdad",5
"adecuada",4
"ademá",4
"administración",4
"ajust",4
"aquello",4
"característica",4
"ciudadana",4
"ciudadano",4
"colectivo",4
"combatient",4
"combatir",4
"comunicado",4
"comunitario",4
"concepción",4
"concordancia",4
"condición",4
"conformación",4
"constituirá",4
"contenida",4
"cual",4
"dará",4
"defensora",4
"definida",4
"definitiva",4
"delito",4
"democrático",4
"departament",4
"desmantelar",4
"días",4
"diferent",4
"directa",4
"directivo",4
"director",4
"dispon",4
"edad",4
"educación",4
"elemento",4
"encuentren",4
"enlac",4
"establecida",4
"estigmatización",4
"estrategia",4
"explosivo",4
"extracción",4
"extraordinario",4
"futuro",4
"hacia",4
"hombr",4
"idoneidad",4
"igual",4
"impulso",4
"incluido",4
"inteligencia",4
"interé",4
"julio",4
"monumento",4
"normatividad",4
"oficina",4
"oposición",4
"orden",4
"pacto",4
"penetración",4
"persecución",4
"planeación",4
"plataforma",4
"posibl",4
"práctica",4
"presidencia",4
"presunción",4
"privado",4
"propio",4
"pued",4
"razon",4
"realiza",4
"realización",4
"reconocimiento",4
"régimen",4
"report",4
"requisito",4
"sector",4
"sometimiento",4
"tale",4
"tardar",4
"temprana",4
"transformen",4
"transitorio",4
"única",4
"unida",4
"valor",4
"verifica",4
"violacion",4
"acord",3
"activa",3
"administrativa",3
"administrativo",3
"adopción",3
"adoptarán",3
"afectado",3
"agrupación",3
"alistamiento",3
"ambient",3
"amnistía",3
"antecedent",3
"aplicará",3
"aprobación",3
"asesoría",3
"asignación",3
"asignará",3
"brindar",3
"candidato",3
"central",3
"común",3
"conformada",3
"congreso",3
"conjuntament",3
"consist",3
"consolidación",3
"constitucion",3
"contratación",3
"controversia",3
"convenio",3
"corresponda",3
"corresponsabilidad",3
"corrupción",3
"creado",3
"cuanto",3
"cuentan",3
"cultura",3
"cuyo",3
"debida",3
"debidament",3
"decision",3
"defensor",3
"definición",3
"definir",3
"delegadosa",3
"democracia",3
"departamental",3
"desarrollado",3
"desarrollará",3
"designará",3
"destinado",3
"determinada",3
"determinado",3
"dignidad",3
"disposicion",3
"distinta",3
"economía",3
"educativa",3
"ejercen",3
"elaboración",3
"elaborado",3
"electoral",3
"élite",3
"ello",3
"emprend",3
"entrega",3
"especial",3
"especializado",3
"específico",3
"estándar",3
"estudio",3
"existan",3
"familiar",3
"fine",3
"formal",3
"fortalec",3
"funda",3
"garantizando",3
"generar",3
"grave",3
"hora",3
"humana",3
"ideológica",3
"igualdad",3
"igualment",3
"incluirán",3
"ingresar",3
"ingreso",3
"iniciará",3
"inmediata",3
"integral",3
"integran",3
"jep",3
"judicial",3
"legislativa",3
"legítimo",3
"lgtbi",3
"líderesa",3
"limitación",3
"llegada",3
"mando",3
"manipulación",3
"mantendrá",3
"mese",3
"milicia",3
"mínimo",3
"momento",3
"monitorear",3
"movilizars",3
"multidimension",3
"municipal",3
"municipio",3
"naturaleza",3
