"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","propia","actividad","solucion","nacion","realizar","paz"
"2","determinado","responsabilidad","apertura","farc","supuesto","mmv"
"3","empleo","participación","estructur","conflicto","denuncia","política"
"4","delegada","amnistía","conocimiento","persona","vías","medida"
"5","iniciativa","materia","recolección","mecanismo","brevedad","proceso"
"6","activa","diferent","producción","sistema","sostenibilidad","organizacion"
