"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","internacion","ejecución","puedan","territori","conflicto","verdad"
"2","carácter","adoptar","actividad","tratamiento","paz","comisión"
"3","general","conclusion","haber","fortalecimiento","víctima","nacion"
"4","promoción","ejercicio","recomendacion","accion","justicia","participación"
"5","protección","tener","ciudadano","aplicará","persona","sistema"
"6","histórica","público","proyecto","resto","responsabilidad","tribun"
