"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","farc","calidad","csivi","nacion","miembro","seguridad"
"2","paz","materi","alcanzado","conflicto","territorio","mecanismo"
"3","mmv","denuncia","consecuencia","implementación","coordinacion","construcción"
"4","proceso","país","toma","participación","beneficiaria","territorio"
"5","política","haga","aspecto","jurisdicción","jurisdicción","persona"
"6","medida","permanencia","derivada","víctima","resto","ley"
