"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","nuevo","farc","instancia","integr","comisión","día"
"2","estructura","nacion","ordinaria","jurisdicción","coordinación","denominada"
"3","desarrollo","seguridad","desplazamiento","apoyo","institucion","género"
"4","ejecución","política","mandato","riesgo","dentro","farc"
"5","población","organizacion","vigilancia","servicio","regla","internacion"
"6","tránsito","protección","conformidad","apertura","social","control"
